Title,Dewey_Decimal_Number,Author,ISBN,In_Stock,DatePurchased,NumberInStock,NumberOfAccesses,Price,LastAccessed
"Making of Memory, The",153.1,"Rose, Steven",2735021949,y,,1,4,,20-MAR-2014
"Making of the Cold War Enemy, The",353.1,"Robin, Ron",4012966586,y,,2,2,,24-JUN-2011
"Making of the Modern Mind, The",306,"Hodgkiss, Phillip",7688932935,y,19-MAR-1997,2,1,5.99,08-APR-1999
"Making of the Representative for Planet 8, The",823,"Lessing, Doris",7645975201,n,01-JUN-1990,0,12,21.5,16-MAY-2017
Making the Corp,355.3,"Ricks, Thomas E",7864793422,y,,2,4,,05-NOV-2012
Mammoth Book of Science Fiction Short Novels,823,"Asimov, Isaac (ed.)",978-3046267672,y,15-APR-2007,1,12,21.5,02-JUL-2015
Man and the Cosmos,520,"Calder, Richie",6387775487,y,19-APR-2002,1,2,21.5,06-JUL-2010
Man and the Natural World: Changing Attitudes in England 1500-1800,900,"Thomas, Keith",8567172745,y,09-JAN-1999,1,2,7.99,09-AUG-2008
"Man in the High Castle, The",823,"Dick, Philip K",0009199362,y,23-FEB-1986,3,12,5.49,12-MAY-1994
Man of Two Worlds,823,"Herbert, Frank and Herbert, Brian",8775019915,n,01-OCT-1987,0,1,1.99,16-MAY-2017
Man the Builder,500.9,"Pannell, J M",5996187621,y,01-APR-1980,2,2,2.99,18-JUN-1988
"Man, Beast and Zombie",500,"Malik, Kenan",5898419915,y,23-JAN-2005,1,2,12.49,12-FEB-2007
Mansfield Park,823,"Austen, Jane",6822482150,y,01-DEC-1986,5,12,1.99,08-AUG-1987
Mantissa,823,"Fowles, John",978-2076902148,n,07-DEC-2008,0,2,17.99,16-MAY-2017
Mapping Mars,523.2,"Moreton, Oliver",978-7046860124,y,10-OCT-2009,2,4,17.99,18-NOV-2013
March of the Machines,500,"Warwick, Kevin",1283531171,y,,1,4,,20-MAR-2014
Margaret Mead and the Heretic,300,"Freeman, Derek",978-4324498104,y,07-JAN-2010,1,2,12.49,15-MAY-2018
"Marriage of Cadmus and Harmony, The",823,"Calasso, Roberto",0321071949,y,21-OCT-2005,5,2,12.49,13-APR-2011
Mars,823,"Bova, Ben",978-0457339008,y,20-NOV-2008,4,2,7.99,06-FEB-2017
"Marshall Plan for Novel Writing, The",807,"Marshall, Evan",2429380222,y,11-NOV-1998,2,4,5.99,11-JUN-2008
"Martina, the",823,"Weir, Andy",9298280053,y,,1,1,,27-SEP-2008
Marx for Beginners,300,Rius,8386487308,n,01-FEB-1981,0,4,1.99,16-MAY-2017
"Master of the Moor, The",823,"Rendell, Ruth",978-7808930403,y,07-JAN-2014,4,10,5.99,15-MAY-2018
Master of the Temple,823,"Roberts, Eric",4420741277,n,01-MAY-1990,0,1,12.49,16-MAY-2017
Mastermind,153,"Konnikova, Maria",317094624X,n,24-JAN-1998,0,2,17.99,16-MAY-2017
"Mathematical Experience, The",510.9,Hersh and Davies,8227747217,y,01-AUG-1991,2,2,5.99,01-MAR-2001
"Mathematical Tourist, The",510.9,"Petersen, Ivan",6725393560,y,,2,4,,20-MAR-2014
Mathematics in Western Culture,510,"Kline, Morris",443124695X,y,01-MAR-1982,2,2,4.5,09-APR-1986
Matter,823,"Banks, Iain M",9186659972,n,15-JAN-2001,0,2,5.99,16-MAY-2017
"Mayor of Casterbridge, The",823,"Hardy, Thomas",5195606875,y,01-SEP-1984,1,12,5.49,18-NOV-1992
Mdame Bovary,823,"Flaubert, Gustave",9855297194,y,01-JUN-1994,1,10,5.99,22-NOV-1999
"Meaning of Things, The",100,"Grayling, A C",8353906362,y,13-APR-2004,2,0,17.99,04-OCT-2009
"Mechanical Mind, The",100,"Crane, Tim",8454278190,y,28-FEB-2003,1,1,17.99,24-NOV-2005
"Mechanics of Wonder, The",809,"Westfahl, Gary",4353528020,y,,2,1,,02-AUG-2015
Medea,822,Euripides,978-9332002820,y,15-JUL-2008,1,2,12.49,20-MAY-2015
Media Discourse,302.23072,"Fairclough, Norman",4254494880,y,12-APR-2003,1,2,12.49,29-JUN-2011
Media Research Techniques,302.23072,"Berger, Arthur Asa",6380751825,y,14-JUN-2001,2,0,12.49,18-APR-2008
"Media Trilogy, The",70.4,"Harris, Robert",2863717174,y,27-JUN-2004,2,2,17.99,13-SEP-2012
"Medieval Machine, The",909.07,"Gimpel, Jean",2854731499,y,01-MAY-1982,2,2,1.99,18-JUL-1990
Medieval Roads and Tracks,911,"Hindle, Paul",6655717667,y,20-JAN-1997,2,4,17.99,08-APR-2005
Meeting at Telgte,823,"Grass, Gunter",3312976464,n,03-OCT-1988,0,10,4.99,16-MAY-2017
"Megaliths, Myths and Men",930.1,"Brown, P Lancaster",4472717566,n,01-JUN-1979,0,2,0.99,16-MAY-2017
"Memories, Dreams and Reflections",150.9,"Jung, C J",7316025927,n,01-MAR-1977,0,2,0.99,16-MAY-2017
Memory,153.1,"Hunter, Ian M L",1395381923,y,01-MAY-1997,2,2,17.99,09-JUN-2001
"Memory Game, The",823,"French, Nicci",1123912396,y,01-DEC-1994,3,10,5.99,27-AUG-1997
Memory Trade,302.2,"Tofts, Darren and Murray McKeich",9769938812,y,,2,2,,05-NOV-2012
Merlin,823,"Nye, Robert",0948909582,n,01-JAN-1981,0,1,4.99,16-MAY-2017
Metamorphosis and Other Stories,808.3,"Kafka, Franz",3736952764,y,01-APR-1977,2,1,0.99,22-SEP-1982
Metaphors We Live By,415,"Lakoff, George, and Mark Johnston",665039759X,y,14-JUL-2002,2,1,5.99,18-MAY-2009
Metaphysical Horror,100,"Kolakowski, Leszek",6946797449,y,20-JAN-1998,2,1,21.5,24-NOV-2004
Meteorology,551.5,Aeolius,8005474134,y,01-DEC-1988,1,4,2.99,28-AUG-1991
Metroland,823,"Barnes, Julian",917712373X,n,01-JUL-1992,0,10,5.99,16-MAY-2017
"Metropolitan Murder, A",823,"Jackson, Lee",978-8675679061,n,07-JUN-2007,0,12,7.99,16-MAY-2017
Mid-Victorian Britain 1851-75,942.081,"Best, Geoffrey",6436779269,n,30-JUN-1999,0,2,17.99,16-MAY-2017
"Middle Age of Mrs Eliot, The",823,"Wilson, Angus",0571243592,y,31-MAR-2003,1,10,17.99,02-FEB-2010
"Middle Class, The",900,"James, Laurence",175340871X,y,18-JUL-1997,1,4,5.99,08-JAN-2003
"Middle Mind, The",306,"White, Curtis",3708162337,y,26-DEC-2005,2,1,21.5,27-JUL-2015
"Midwich Cuckoos, The",823,"Wyndham, John",4190859466,n,01-JUL-1993,0,10,21.5,16-MAY-2017
"Mill on the Floss, The",823,"Eliot, George",6510881789,y,01-DEC-1993,1,1,5.99,17-FEB-2002
Millenium,909,"Fernandez-Armesto, Felipe",5759173076,y,01-MAR-1994,1,2,17.99,18-MAY-2002
"Mind Parasites, The",823,"Wilson, Colin",0618533222,n,02-FEB-2001,0,2,5.99,16-MAY-2017
Mind Sculpture,128.2,"Robertson, Ian",5437918755,y,01-SEP-1999,1,4,5.99,18-NOV-2007
"Mind So Rare, A",128.2,"Donald, Merlin",4846087063,y,13-OCT-2003,2,4,17.99,13-MAY-2013
Mind and Cognition,153,"Lycan, William G (ed.)",4479848484,y,04-AUG-1998,2,1,7.99,04-MAR-2008
"Mind's Eye, The",128.2,"Dennet, D and Hofstadter, D",9219472864,y,01-OCT-1991,2,1,12.49,12-FEB-1993
"Mind's Sky, The",150,"Ferris, Timothy",7764914147,y,07-MAY-1997,2,1,21.5,06-DEC-2006
"Minds, Brains and Science",128.2,"Searle, John R",700224628X,y,30-DEC-2003,1,2,17.99,13-MAY-2005
Mindswap,823,"Scheckley, Robert",2687227294,y,01-DEC-1994,1,1,12.49,17-FEB-2003
Mindwaves,150,"Blakemore, Colin, and Susan Greenwood",0895286678,n,16-AUG-2001,0,1,17.99,16-MAY-2017
"Ministry of Fear, The",823,"Greene, Graham",978-4222678772,y,03-DEC-2012,2,10,12.49,15-MAY-2018
"Minotaur, The",823,"Vine, Barbara",978-7065623280,y,05-AUG-2006,5,1,21.5,22-OCT-2014
Miss Brill,808.3,"Mansfield, Katherine",9715947541,y,30-SEP-1998,2,0,5.99,22-MAR-2004
Miss Smilla's Feeling for Snow,823,"Hoeg, Peter",9505030447,n,07-NOV-1995,0,4,5.99,16-MAY-2017
Miss Wyoming,823,"Coupland, Douglas",3187800643,y,28-JAN-2003,5,1,17.99,02-DEC-2009
Modern English Usage,808,"Fowler, H W",2443948729,y,01-SEP-1994,2,4,21.5,18-NOV-2002
Modern Movements in European Philosophy,100,"Kearney, Richard",3179950823,y,19-NOV-1997,2,1,17.99,23-SEP-2004
Modern Poets on Modern Poetry,809.1,"Scully, James (eds)",8411458697,y,,2,4,,09-FEB-2010
Modern Science and the Nature of Life,530,"Beck, William S",105568274X,y,01-OCT-1987,1,4,4.99,18-DEC-1995
Moon Magic,823,"Fortune, Dione",5040836765,n,01-DEC-1992,0,10,12.49,16-MAY-2017
Moon Over Water,158,"MacBeth, Jessica",0677560256,y,01-SEP-1993,2,4,7.99,10-OCT-1997
"Moon and Sixpence, The",823,"Maugham, W Somerset",8274674219,y,24-JAN-1999,4,10,17.99,28-NOV-2005
"Moon of Gomrath, The",823,"Garner, Alan",269186704X,y,01-JAN-1976,4,2,0.99,20-JAN-1978
"Moonstone, The",823,"Collins, Wilkie",2779772180,y,01-JAN-1976,4,1,3.5,05-NOV-1982
Moral Combat: A History of World War II,355.9,"Burleigh, Michael",978-8127285437,y,26-NOV-2015,1,2,17.99,15-MAY-2018
"Moral Landscape, The",100,"Harris, Sam",8075691237,y,18-OCT-1996,2,1,5.99,04-JAN-2005
More Than Human,823,"Sturgeon, Theodore",5097369466,y,01-AUG-1977,4,1,3.5,02-MAR-1987
More UFOs Over Warminster,1.9,"Shuttlewood, Arthur",4385229654,n,19-JAN-1997,0,2,17.99,16-MAY-2017
"Morning of the Magicians, The",1.9,Pauwels and Bergier,5198110135,y,01-JAN-1976,2,4,0.99,05-NOV-1982
Mortal Questions,190,"Nagel, Thomas",8997696745,y,,2,4,,09-FEB-2010
"Movie Moguls, The",791.43092,"French, Philip",1961111856,y,30-SEP-1998,1,2,5.99,22-MAR-2004
Mrs Dalloway,823,"Woolf, Virginia",978-6804977426,y,30-APR-2013,4,12,17.99,20-MAY-2015
Mrs Palfrey at the Claremont,823,"Taylor, Elizabeth",978-9928439292,y,29-DEC-2014,5,10,5.99,15-MAY-2018
Murder for Love,808.3,"Penzler, Otto (Ed.)",978-0586411180,y,01-JUN-2007,1,1,5.99,21-NOV-2012
My Salinger Year,921,"Rakoff, Joanna",7202024235,y,,2,2,,02-AUG-2015
Mysteries,133,"Wilson, Colin",7131121143,y,01-DEC-1995,2,2,5.99,17-FEB-2004
"Mysterious Unknown, The",133,"Charroux, Robert",9790110704,n,01-MAR-1977,0,2,1.99,16-MAY-2017
"Myth of Irrationality, The",153,"McCrone, John",6021213260,y,01-OCT-1993,2,0,12.49,24-MAR-1999
Mythologies,848,"Barthes, Roland",6087659176,y,14-JUL-2001,1,2,5.99,12-FEB-2011
Mythology,290,"Maranda, Pierre (Ed)",8675916921,y,25-OCT-1998,1,2,7.99,25-MAY-2008
"Narrow Corner, The",823,"Maugham, W Somerset",978-6993267474,y,25-DEC-2014,4,12,5.99,15-MAY-2018
Narziss and Goldmund,823,"Hesse, Herman",9383405377,y,01-MAY-1978,2,2,1.5,30-NOV-1987
"Nature and Limits of Human Understanding, The",153,"Sanford, Anthony J (ed)",7314105587,y,,2,2,,20-MAR-2014
"Nature of Human Consciousness, The",153,"Ornstein, Robert E. (Ed.)",978-9660706040,y,02-MAR-2006,1,1,12.49,01-OCT-2015
"Nature of Time, The",500,"Whitrow, G J",3201811390,y,20-AUG-1996,1,2,17.99,25-JUN-2003
"Nature of the Beast, The",823,"Fyfield, Frances",978-4985421088,y,28-NOV-2006,3,12,21.5,14-FEB-2015
"Nature of the Universe, The",523.1,"Hoyle, Fred",1485099281,y,20-SEP-1996,1,1,12.49,21-APR-2006
Nature's Mind,150,"Gazzaniga, Michael  S",8256366378,y,01-MAY-1995,1,0,5.99,18-JUL-2003
"Neanderthal Question, The",153,"Gooch, Stan",5522730600,y,01-NOV-1984,1,4,1.99,02-JUN-1994
Necessary Doubt,823,"Wilson, Colin",1058687084,y,24-DEC-1998,1,2,12.49,12-MAR-2007
"Nemesis Affair, The",500,"Raup, David M",978-1132450426,y,07-AUG-2013,1,2,17.99,15-MAY-2018
Neoliberalism: A Very Short Introduction,320,"Steiger, Manfred B and Ravi K Roy",978-7931299558,y,29-DEC-2015,1,0,17.99,15-MAY-2018
"Neophiliacs, The",900.085,"Booker, Christopher",3238378672,y,23-MAR-1998,1,1,12.49,09-JUN-2006
"Neptune File, The",500,"Standage, Tom",2572790423,y,27-MAY-2005,1,2,12.49,26-DEC-2014
Neuromancer,823,"Gibson, William",1231434192,y,01-SEP-1994,1,12,12.49,22-FEB-2000
New Frontiers of the Mind,133.8,"Rhine, J B",989705511X,y,01-AUG-1977,1,4,0.99,18-OCT-1985
"New Girlfriend, The, and other Stories",808.3,"Rendell, Ruth",978-775656534X,y,25-DEC-2015,1,1,17.99,15-MAY-2018
New Poetic: Yeats to Eliot,809.1,"Stead, C K",0090713516,y,15-JUN-1977,1,4,0.99,20-FEB-1978
New Poetic: Yeats to Eliot,809.1,"Stead, C K",0090713516,y,17-JUL-2009,2,1,5.99,21-MAY-2016
"New Priesthood, The",600.9,"Lapp, Ralph E",6458039548,n,25-MAY-2001,0,2,12.49,16-MAY-2017
"New SF, The",823,Various,4170134791,y,01-OCT-1987,5,1,4.99,01-MAY-1997
"New Science of Life, The",500,"Sheldrake, Rupert",9530021650,y,,1,1,,20-MAR-2014
New Scientist Guide to the Quantum World,500,"Lindley, David",1356663379,y,04-FEB-2000,2,4,21.5,04-SEP-2009
"New Skepticism, The",100,"Kurtz, Paul",0029829922,y,25-JAN-1998,2,4,21.5,18-JUL-2003
New Technology,500,Various,4301625604,y,01-JAN-1983,2,1,2.99,01-AUG-1992
"New Tomorrows, The",823,"Spinrad, Norman (ed)",2561005937,y,01-MAR-1986,4,0,4.99,22-AUG-1991
"New UFO Breakthrough, The",1.9,"Steiger, Brad and Whritenour, June",4652546693,y,01-MAY-1994,2,2,5.99,20-MAY-1996
New Worlds - An Anthology,823,"Moorcock, Michael (Ed.)",2164394726,y,02-FEB-1985,1,4,4.5,21-APR-1993
"Newtonian Casino, The",530,"Bass, Thomas A",0428480380,y,28-MAR-2000,2,4,5.99,27-OCT-2009
"Next 200 Years, The",335,"Kahn, Herman",9870005716,n,12-DEC-1995,0,2,5.99,16-MAY-2017
Nietzsche in 90 Minutes,190.9,"Strathern, Paul",1579280869,n,25-APR-1997,0,4,17.99,16-MAY-2017
Nightfall,823,"Asimov, Isaac, and Silverberg, Robert",8102791448,y,01-AUG-1986,2,0,5.49,18-OCT-1994
Nine Princes in Amber,823,"Zelazney, Roger",6717373792,n,01-APR-1977,0,1,2.99,16-MAY-2017
No Boundary,150.1,"Wilber, Ken",5760990784,n,,0,2,,16-MAY-2017
No Country For Old Men,823,"MacCarthy, Cormac",978-5706931160,y,19-FEB-2012,1,1,21.5,11-AUG-2017
No Go the Bogeyman,390,"Warner, Marina",6299804233,y,,1,1,,02-AUG-2015
No Logo,306,"Klein, Naomi",0441224929,y,30-DEC-1997,1,2,5.99,31-JUL-2007
No Night is too Long,823,"Vine, Barbara",978-2796218960,y,28-AUG-2015,3,10,7.99,15-MAY-2018
No Time to Think,71.01,"Rosenberg, Howard, and Charles S Feldman",5517558523,y,,2,2,,20-MAR-2014
NonZero,500,"Wright, Robert",4598135699,y,19-OCT-2003,1,4,7.99,27-NOV-2007
Nonsense Novels,808.3,"Leacock, Stephen",0980841876,n,01-JUL-1983,0,2,1.99,16-MAY-2017
"Norman Conquests, The",822,"Ayckbourn, Alan",5253381899,y,01-AUG-1979,1,4,2.99,07-APR-1980
Northanger Abbey,823,"Austen, Jane",2554670112,y,01-DEC-1986,5,12,1.99,17-FEB-1995
Northanger Abbey,823,"Austen, Jane",978-0703386162,y,10-FEB-2010,2,4,17.99,06-NOV-2012
Not After Midnight,808.3,"De Maurier, Daphne",7100259758,y,01-JUL-2003,2,0,7.99,17-SEP-2011
Not Your Heart Away,823,"Bennett, Carl",978-8580831987,y,22-SEP-2015,5,1,17.99,15-MAY-2018
Not the End of the World,823,"Atkinson, Kate",978-2513445552,y,31-DEC-2015,2,4,12.49,19-JAN-2018
Notes Toward a Definition of Culture,306,"Eliot, T S",6984643450,y,29-JAN-1997,1,2,12.49,17-APR-2005
Now Wait for Last Year,823,"Dick, Philip K",1758635809,y,01-DEC-1992,1,10,5.99,09-JAN-1997
"Nuclear Barons, The",500,Unknown,6775219346,n,01-APR-1986,0,4,1.99,16-MAY-2017
Number,510.9,"McLiesh, John",6458329790,y,01-SEP-1993,1,4,7.99,10-OCT-1997
"Number Sense, The",510.1,"Dehaene, Stanislas",9671163186,y,29-JUL-2003,1,4,5.99,15-OCT-2011
Observer Book of the Weather,551.5,Various,0146942088,y,01-NOV-1981,2,4,1.99,18-JAN-1990
Observer's Astronomy,520,"Moore, Patrick",4805166239,y,12-OCT-1978,1,2,0.99,03-APR-1984
Observer's Astronomy,520,"Moore, Patrick",681158555X,y,29-NOV-1979,1,2,0.99,21-MAY-1985
"Occult, The",133.4,"Wilson, Colin",2523001778,y,01-JAN-1993,1,2,12.49,06-NOV-1999
October Ferry to Gabriola,823,"Lowry, Malcolm",868240016X,y,01-JUN-1989,4,2,5.49,09-SEP-1989
Of Human Bondage,823,"Maugham, W Somerset",5082846705,n,09-JAN-1999,0,2,5.99,16-MAY-2017
"Officer and a Spy, A",823,"Harris, Robert",2628874822,y,30-SEP-1996,2,1,21.5,01-MAY-2006
"Oh, What a Blow that Phantom Gave Me!",301,"Carpenter, Edmund",8340242071,y,19-MAR-1997,2,4,7.99,05-JUN-2005
"Okri, Ben",823,Astonishing the Gods,9335467280,y,01-AUG-1986,1,4,5.49,18-OCT-1994
"Old Man and the Sea, The",823,"Hemingway, Ernest",7007858915,n,01-APR-1982,0,2,4.5,16-MAY-2017
"Old Men at the Zoo, The",823,"Wilson, Angus",6350091159,y,03-MAY-2001,2,12,17.99,02-DEC-2010
"Olive Tree, The",808.3,"Huxley, Aldous",0420953576,y,01-JAN-1977,2,4,1.5,02-AUG-1986
"Omen, The",823,"Seltzer, David",5144029551,n,01-JAN-1976,0,10,0.99,16-MAY-2017
"On ""What is History?""",901,"Jenkins, Keith",218974381X,y,30-SEP-1997,1,4,5.99,17-DEC-2005
On Chesil Beach,823,"McEwan, Ian",978-5836239255,n,14-SEP-2014,0,12,7.99,16-MAY-2017
On Democracy,300,"Dahl, Robert A",2081440511,y,26-APR-2003,2,1,5.99,28-FEB-2010
On Liberty,323.1,"Mill, John Stuart",978-7355580357,y,30-NOV-2015,2,2,21.5,15-MAY-2018
On Poetry and Prose,809.3,"Eliot, T S",7380132953,y,01-DEC-1993,1,2,7.99,17-FEB-2002
On the Beach,823,"Shute, Nevil",7786412923,y,01-NOV-1987,1,10,1.99,18-JAN-1996
"Once and Future King, The",823,"White, T H",8970524738,y,01-SEP-1983,1,4,1.99,01-APR-1993
"One Across, Two Down",823,"Rendell, Ruth",6213047410,n,31-JUL-2004,0,10,17.99,16-MAY-2017
One Dimensional Man,300,"Marcuse, Herbet",3117224981,n,01-MAR-1980,0,1,4.99,16-MAY-2017
One Good Turn,823,"Atkinson, Kate",978-6012085451,y,12-JAN-2014,5,0,5.99,15-MAY-2018
"One World, Ready or Not",306,"Greider, William",2323622900,y,18-MAR-1996,2,2,5.99,21-JAN-2003
One of Us,823,"Marshall Smith, Michael",978-782703334X,y,02-JAN-2008,2,12,5.99,21-JAN-2010
Operation Ares,823,"Wolfe, Gene",9990101149,n,01-DEC-1989,0,4,1.99,16-MAY-2017
Operation Trojan Horse,1.9,"Keel, John",1205438865,y,01-FEB-1977,2,2,0.99,12-MAR-1981
"Opium General and Other Stories, The",823,"Moorcock, Michael",8763962425,n,01-DEC-1986,0,2,1.99,16-MAY-2017
"Orchard Keeper, The",823,"McCarthy, Cormac",4417283393,y,12-FEB-1999,1,4,17.99,01-MAY-2007
Order of Assassins: The Psychology of Murder,153,"Wilson, Colin",978-5290710263,y,30-JUL-2007,2,2,5.99,16-OCT-2015
Origin of Consciousness in the Breakdown of the Bicameral Mind,153,"Jaynes, Julian",6304683921,y,02-OCT-1997,2,4,7.99,10-NOV-2001
"Origin of Humankind, The",500,"Leakey, Richard",4672544536,y,30-MAR-1998,1,2,12.49,16-JUN-2006
"Origin of the Universe, The",520,"Barrow, John D",3148701290,y,19-SEP-2000,2,1,21.5,20-APR-2010
Origins,306.4,"Lightman, Alan and Roberta Brawer",9283163100,y,20-MAY-1998,1,1,17.99,06-AUG-2006
"Origins and Growth of Sociology, The",301,"Abraham, J H",7018980508,y,01-JUN-1986,1,1,1.99,06-FEB-1987
"Origins of Political Order, The",320,"Fukuyama, Francis",6638656988,y,01-MAR-1995,1,0,5.99,03-JAN-2002
Oscar and Lucinda,823,"Carey, Peter",2269038135,y,21-MAY-2002,1,4,5.99,25-MAR-2009
"Other World, The: Spiritualism and Psychical Research in England, 1850-1914",900,"Oppenheim, Janet",1993024257,y,,1,0,,09-FEB-2010
Our Game,823,"Le  Carre, John",978-5361129011,y,25-SEP-2009,4,1,17.99,18-MAR-2015
Our Language,420.9,"Potter, Simeon",6657368749,y,01-NOV-1986,1,4,5.49,18-JAN-1995
Our Posthuman Future,600.1,"Fukuyama, Francis",698816915X,y,01-MAR-1995,1,2,12.49,03-JAN-2002
Out of Control,500,"Kelley, Kevin",542720345X,y,01-FEB-1996,2,1,17.99,19-APR-2004
Out of the Shadows,1.9,"Clarke, David and Andy Roberts",3593822170,y,20-JAN-2003,2,4,17.99,24-NOV-2009
Outline Of World History,940,"Hamden, J A (ed)",5386143800,y,10-JUN-1996,2,4,21.5,01-DEC-2001
"Outsider, The",823,"Camus, Albert",4959880610,y,01-JUN-1977,3,0,2.99,22-NOV-1982
"Outsider, The",809.3,"Wilson, Colin",7652030819,y,01-JUL-1977,2,1,0.99,30-JAN-1987
"Overloaded Man, The",823,"Ballard, J G",7897373814,n,30-AUG-2001,0,2,5.99,16-MAY-2017
Oxford Companion to Music,780.3,"Scholes, Percy",6933692068,y,,1,2,,21-JAN-2008
Oxford Companion to Philosophy,100,"Honderich, Ted",7189928338,y,20-MAR-1997,1,2,5.99,10-SEP-2002
Oxford Companion to the Mind,150.3,"Gregory, Richard L",7018155021,y,28-FEB-1996,1,4,17.99,28-SEP-2005
"Oxford Popular History of Britain, The",941,"Morgan, Kenneth O (Ed.)",535498883X,y,,2,0,,20-MAR-2014
"Ozone Layer, The",540.9,"Christie, Maureen",978-7119438409,y,25-APR-2014,2,4,7.99,15-MAY-2018
"Painted Veil, The",823,"Somerset Maugham, W",978-8700266163,y,14-FEB-2007,1,12,5.99,19-DEC-2013
"Pair of Blue Eyes, A",823,"Hardy, Thomas",6930198435,y,30-JUL-1996,3,12,21.5,04-JUN-2003
"Pair of Silk Stockings, A",808.3,"Chopin, Kate",5449549642,y,17-JUL-2002,2,1,7.99,15-FEB-2012
Panic Attacks: Media Manipulation and Mass Delusion,300,"Bartholomew, Robert E and Hilary Evans",978-0708406289,y,05-AUG-2007,1,1,12.49,09-JUN-2014
Parade's End,823,"Ford, Maddox Ford",343921465X,y,01-AUG-1994,3,1,7.99,22-JAN-2000
Paradigms Lost,500,"Casti, John L",1091558892,y,01-JUN-1991,1,4,17.99,20-JUN-1993
Paradigms Regained,500,"Casti, John L",2797857501,y,20-JUN-2002,1,4,5.99,24-APR-2009
Paranoia: The 21st Century Fear,300,"Freeman, Daniel and Jason",2871167489,y,01-DEC-1994,2,2,7.99,17-FEB-2003
"Paranormal, The",153,"Gooch, Stan",4444197255,n,01-JAN-1995,0,4,12.49,16-MAY-2017
Parapsychology: A Concise History,133,"Beloff, John",1767990543,y,05-JUN-2001,2,2,5.99,04-JAN-2011
Passport to Magonia,1.9,"Vallee, Jacques",7355407312,y,01-APR-1978,1,1,0.99,31-OCT-1987
Pathways,911,"Rudd-Jones, Nicholas and David Stewart",7768073453,y,,1,2,,05-NOV-2012
Pattern Recognition,823,"Gibson, William",5955260036,y,01-MAY-1995,4,4,12.49,20-MAY-1997
"Pattern of Expectation, The",909.08,"Clarke, I F",2688673210,y,16-SEP-2002,2,2,12.49,16-APR-2012
"Pattern on the Stone, The: The Simple Ideas that Make Computers Work",500,"Hillis, W Daniel",8760189139,y,20-DEC-2001,1,2,5.99,21-JUL-2011
Patterns in the Mind,128.2,"Jackendoff, Ray",5225889755,y,27-OCT-1995,2,0,17.99,31-AUG-2002
Pavanne,823,"Roberts, Keith",7772896252,y,03-MAR-1985,5,4,1.99,20-MAY-1993
Pavanne,823,"Roberts, Keith",9323245445,y,01-NOV-1991,3,4,5.99,05-SEP-1998
Paycheck,823,"Dick, Philip K",142624748X,y,16-AUG-2005,4,10,12.49,17-MAR-2015
Penguin Book of Classical Myths,290,"March, Jenny (ed)",9120758366,y,28-OCT-1998,1,2,17.99,28-MAY-2008
"Penguin Essays of George Orwell, The",824,"Orwell, George",5403071472,y,,1,2,,24-JUN-2011
"Penultimate Truth, The",823,"Dick, Philip K",978-2103540707,y,30-JUN-2014,4,1,7.99,15-MAY-2018
"Perfect Spy, A",823,"Le Carre, John",2180501438,y,01-JAN-1990,4,2,5.49,20-MAR-1998
Perfectly Pure and Good,823,"Fyfield, Frances",1990445592,n,11-DEC-1997,0,10,21.5,16-MAY-2017
Periodic Kingdom,500,"Leakey, Richard",978-6445107589,n,26-OCT-2014,0,4,17.99,16-MAY-2017
"Periodic Kingdom, The",540,"Atkins, Peter",2353394671,y,01-AUG-1986,1,2,4.5,14-DEC-1987
"Periodic Table, The",823,"Levi, Primo",2927059188,n,01-JUL-1990,0,1,21.5,16-MAY-2017
Persuasion,823,"Austen, Jane",978-1374255168,y,24-DEC-2013,2,10,5.99,15-MAY-2018
Phantoms of the Sky,1.9,"Clarke, David and Roberts, Andy",5823516937,n,30-DEC-1997,0,2,5.99,16-MAY-2017
"Philanthropist, The",822,"Hampton, Cristopher",3341734760,n,01-APR-1978,0,4,0.99,16-MAY-2017
"Philisophical Investigation, A",823,"Kerr, Philip",5198880138,n,01-APR-1993,0,1,21.5,16-MAY-2017
Philosopher's Stone,900,"Marshall, Peter",1631671238,y,25-NOV-1998,2,2,12.49,29-SEP-2005
"Philosopher's Stone, The",823,"Wilson, Colin",4995785758,n,01-JAN-1976,0,2,2.99,16-MAY-2017
Philosophy and Social Hope,100,"Rorty, Richard",9450750113,y,,1,2,,20-MAR-2014
Philosophy and the New Physics,501,"Powers, Jonathan",6750727173,y,,2,4,,20-MAR-2014
"Philosophy of Science, The",501,"Toulmin, Stephen",3275546973,y,,1,4,,27-SEP-2008
Philosophy of Science: A Very Short Introduction,501,"Okasha, Samir",978-1943723667,y,08-OCT-2014,1,0,5.99,15-MAY-2018
Philosopy for Beginners,100,"Robinson, Dave and Judy groves",1166816317,y,,1,2,,24-JUN-2011
Pi in the Sky,510,"Barrow, John D",8197559900,y,21-JUL-1996,1,1,7.99,10-AUG-1998
Picnic at Hanging Rock,823,"Lindsay, Joan",978-5028836804,y,25-JUN-2013,2,2,17.99,15-MAY-2018
Pirahna to Scurfy,808.3,"Rendell, Ruth",6845294520,y,,2,2,,02-AUG-2015
"Place of Enchantment, The: British Occultism and the Culture of the Modern",130.9,"Owen, Alex",646955287X,y,,1,1,,20-MAR-2014
"Plague of Demons, A",823,"Laumer, Keith",3352546451,n,01-FEB-1986,0,1,4.99,16-MAY-2017
"Plague of Pythons, A",823,"Powers, Frederick",6022717765,n,01-JUN-1987,0,10,5.49,16-MAY-2017
